name,fgm,fga,fg_pct,pts,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,min,season,player_id,pos,team,date,game_id,plus_minus,dd2,start
N. Vucevic,9,20,0.45,23,0,3,0.0,5,7,0.714,4,8,12,1,0,6,2,0,2,5,33.11666666666667,2019-20,202696,Center,ORL,20191220,21900428,-23,1,True
D. Lillard,13,21,0.619,36,7,13,0.538,3,3,1.0,0,3,3,6,5,1,0,0,1,2,36.43333333333333,2019-20,203081,Guard,POR,20191220,21900428,28,0,True
T. Ross,3,11,0.273,9,1,6,0.167,2,3,0.667,1,1,2,0,2,1,0,1,3,1,22.28333333333333,2019-20,203082,Guard,ORL,20191220,21900428,-2,0,False
E. Fournier,7,17,0.412,16,1,5,0.2,1,2,0.5,0,2,2,3,0,1,0,2,1,3,29.166666666666668,2019-20,203095,Guard,ORL,20191220,21900428,-21,0,True
K. Bazemore,4,8,0.5,11,2,4,0.5,1,1,1.0,0,4,4,0,3,1,1,0,1,1,32.166666666666664,2019-20,203145,Guard,POR,20191220,21900428,18,0,True
C. McCollum,12,20,0.6,31,4,8,0.5,3,3,1.0,0,7,7,4,2,1,0,1,0,3,37.43333333333333,2019-20,203468,Guard,POR,20191220,21900428,8,0,True
M. Carter-Williams,0,2,0.0,0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,0,8.5,2019-20,203487,Guard,ORL,20191220,21900428,-1,0,False
K. Birch,0,1,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.15,2019-20,203920,Center,ORL,20191220,21900428,3,0,False
A. Gordon,4,17,0.235,11,0,2,0.0,3,4,0.75,6,5,11,4,0,0,1,4,2,6,29.8,2019-20,203932,Forward,ORL,20191220,21900428,-9,1,True
M. Hezonja,0,2,0.0,0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,0,4,0,11.316666666666666,2019-20,1626209,Forward,POR,20191220,21900428,0,0,False
S. Labissiere,2,4,0.5,8,0,0,0.0,4,4,1.0,2,4,6,3,1,0,2,0,3,3,23.85,2019-20,1627746,Forward,POR,20191220,21900428,0,0,False
M. Fultz,4,7,0.571,10,1,1,1.0,1,2,0.5,0,2,2,4,2,1,0,2,4,2,26.016666666666666,2019-20,1628365,Guard,ORL,20191220,21900428,-16,0,True
J. Isaac,3,9,0.333,10,1,1,1.0,3,4,0.75,1,3,4,0,3,4,2,1,3,4,30.1,2019-20,1628371,Forward,ORL,20191220,21900428,-20,0,True
W. Iwundu,1,3,0.333,2,0,1,0.0,0,0,0.0,3,0,3,3,0,0,0,0,1,0,12.566666666666666,2019-20,1628411,Forward,ORL,20191220,21900428,2,0,False
A. Jefferson,0,0,0.0,0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,0,0,0,2.15,2019-20,1628518,Forward,ORL,20191220,21900428,3,0,False
M. Bamba,1,2,0.5,2,0,0,0.0,0,0,0.0,3,3,6,2,0,1,0,0,0,0,12.733333333333333,2019-20,1628964,Center,ORL,20191220,21900428,5,0,False
M. Frazier Jr.,1,1,1.0,3,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,2.15,2019-20,1628982,Guard,ORL,20191220,21900428,3,0,False
A. Simons,4,8,0.5,8,0,2,0.0,0,0,0.0,2,4,6,1,1,0,0,0,1,0,20.33333333333333,2019-20,1629014,Guard,POR,20191220,21900428,-3,0,False
G. Trent Jr.,2,4,0.5,6,2,3,0.667,0,0,0.0,0,1,1,0,1,0,0,0,2,0,17.633333333333333,2019-20,1629018,Guard,POR,20191220,21900428,-6,0,False
J. Redick,5,10,0.5,15,2,7,0.286,3,3,1.0,1,2,3,0,3,0,0,0,1,2,21.75,2019-20,200755,Guard,NOP,20191225,21900459,4,0,True
P. Millsap,0,2,0.0,0,0,1,0.0,0,0,0.0,1,1,2,4,1,2,0,0,3,1,16.466666666666665,2019-20,200794,Forward,DEN,20191225,21900459,4,0,True
J. Holiday,8,18,0.444,20,1,7,0.143,3,3,1.0,2,2,4,8,4,6,0,0,2,2,31.405,2019-20,201950,Guard,NOP,20191225,21900459,18,0,True
D. Favors,3,9,0.333,8,0,1,0.0,2,2,1.0,3,10,13,8,3,1,3,1,3,4,30.48333333333333,2019-20,202324,Forward,NOP,20191225,21900459,12,0,True
E. Moore,4,8,0.5,10,2,4,0.5,0,0,0.0,0,1,1,1,0,0,1,0,0,1,21.566666666666663,2019-20,202734,Guard,NOP,20191225,21900459,2,0,False
W. Barton,4,9,0.444,10,0,3,0.0,2,4,0.5,3,5,8,2,2,0,1,0,0,2,32.788333333333334,2019-20,203115,Guard,DEN,20191225,21900459,-24,0,True
M. Plumlee,2,4,0.5,4,0,0,0.0,0,0,0.0,1,4,5,0,1,0,1,0,0,0,16.35,2019-20,203486,Forward,DEN,20191225,21900459,-2,0,False
G. Harris,6,13,0.462,15,3,9,0.333,0,0,0.0,1,2,3,1,1,4,0,1,1,2,35.17166666666667,2019-20,203914,Guard,DEN,20191225,21900459,-12,0,True
J. Grant,6,10,0.6,17,2,3,0.667,3,4,0.75,1,1,2,1,0,0,0,0,1,2,29.116666666666667,2019-20,203924,Forward,DEN,20191225,21900459,-14,0,False
N. Jokic,8,20,0.4,23,2,5,0.4,5,6,0.833,4,6,10,4,5,2,0,1,3,4,30.905,2019-20,203999,Center,DEN,20191225,21900459,-13,1,True
J. Okafor,0,1,0.0,0,0,0,0.0,0,0,0.0,2,1,3,0,3,0,0,0,2,0,10.316666666666666,2019-20,1626143,Center,NOP,20191225,21900459,1,0,False
M. Beasley,5,14,0.357,13,3,10,0.3,0,0,0.0,0,4,4,2,0,0,1,0,1,1,21.883333333333333,2019-20,1627736,Guard,DEN,20191225,21900459,1,0,False
B. Ingram,11,18,0.611,31,7,9,0.778,2,2,1.0,1,6,7,2,2,2,1,0,0,2,35.87166666666667,2019-20,1627742,Forward,NOP,20191225,21900459,11,0,True
J. Murray,2,10,0.2,8,0,2,0.0,4,4,1.0,2,2,4,3,2,1,0,1,4,2,27.955,2019-20,1627750,Guard,DEN,20191225,21900459,-4,0,True
J. Hernangomez,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.745,2019-20,1627823,Forward,DEN,20191225,21900459,3,0,False
L. Ball,4,13,0.308,10,2,8,0.25,0,0,0.0,3,6,9,3,1,0,0,0,0,0,36.28333333333333,2019-20,1628366,Guard,NOP,20191225,21900459,12,0,True
F. Jackson,0,1,0.0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,5.695,2019-20,1628402,Guard,NOP,20191225,21900459,2,0,False
J. Hart,5,10,0.5,16,4,5,0.8,2,2,1.0,1,8,9,0,1,0,0,3,1,3,29.566666666666663,2019-20,1628404,Guard,NOP,20191225,21900459,5,0,False
M. Morris,2,7,0.286,5,1,2,0.5,0,0,0.0,0,1,1,6,0,1,1,2,0,0,22.111666666666668,2019-20,1628420,Guard,DEN,20191225,21900459,-8,0,False
V. Cancar,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.745,2019-20,1628427,Forward,DEN,20191225,21900459,3,0,False
M. Porter Jr.,2,3,0.667,5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,2,0,5.761666666666667,2019-20,1629008,Forward,DEN,20191225,21900459,6,0,False
K. Williams,0,1,0.0,0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,1,0,9.861666666666666,2019-20,1629026,Guard,NOP,20191225,21900459,-6,0,False
J. Hayes,1,1,1.0,2,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,3,1,7.2,2019-20,1629637,Center,NOP,20191225,21900459,-1,0,False
C. Paul,7,15,0.467,17,1,2,0.5,2,2,1.0,1,7,8,7,4,1,0,0,2,2,35.64666666666667,2019-20,101108,Guard,OKC,20191231,21900503,17,0,True
D. Gallinari,8,14,0.571,20,3,8,0.375,1,2,0.5,0,3,3,2,2,1,0,0,0,2,31.08333333333333,2019-20,201568,Forward,OKC,20191231,21900503,15,0,True
N. Noel,5,9,0.556,12,0,0,0.0,2,4,0.5,8,4,12,0,0,1,2,0,1,3,22.83333333333333,2019-20,203457,Center,OKC,20191231,21900503,2,1,False
D. Schroder,7,17,0.412,20,2,7,0.286,4,4,1.0,2,5,7,4,3,0,0,2,2,2,31.15,2019-20,203471,Guard,OKC,20191231,21900503,5,0,False
S. Adams,4,7,0.571,10,0,0,0.0,2,4,0.5,4,7,11,2,1,1,0,0,5,2,25.166666666666668,2019-20,203500,Center,OKC,20191231,21900503,3,1,True
S. Curry,3,13,0.231,9,3,10,0.3,0,0,0.0,2,2,4,1,0,1,1,0,5,1,26.383333333333333,2019-20,203552,Guard,DAL,20191231,21900503,-4,0,False
D. Powell,3,5,0.6,11,0,1,0.0,5,6,0.833,2,2,4,2,0,2,1,0,1,3,29.2,2019-20,203939,Forward,DAL,20191231,21900503,-10,0,True
D. Wright,2,7,0.286,7,1,2,0.5,2,3,0.667,1,2,3,2,3,0,1,2,3,2,26.31833333333333,2019-20,1626153,Guard,DAL,20191231,21900503,2,0,False
B. Marjanovic,2,4,0.5,4,0,1,0.0,0,0,0.0,2,4,6,1,1,0,0,0,2,1,11.083333333333334,2019-20,1626246,Center,DAL,20191231,21900503,8,0,False
D. Finney-Smith,1,8,0.125,6,1,3,0.333,3,4,0.75,1,1,2,1,2,0,1,2,4,2,31.35,2019-20,1627827,Forward,DAL,20191231,21900503,-10,0,True
A. Nader,1,2,0.5,2,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,7.866666666666666,2019-20,1627846,Forward,OKC,20191231,21900503,-3,0,False
J. Jackson,2,8,0.25,8,2,6,0.333,2,2,1.0,0,4,4,2,0,1,0,0,0,1,16.981666666666666,2019-20,1628382,Forward,DAL,20191231,21900503,3,0,False
T. Ferguson,0,3,0.0,0,0,3,0.0,0,0,0.0,1,0,1,0,0,0,0,0,5,0,17.5,2019-20,1628390,Guard,OKC,20191231,21900503,-3,0,True
M. Kleber,5,10,0.5,14,4,9,0.444,0,0,0.0,6,8,14,2,1,0,0,0,3,0,35.266666666666666,2019-20,1628467,Forward,DAL,20191231,21900503,-8,1,True
J. Brunson,3,9,0.333,7,1,3,0.333,0,0,0.0,1,1,2,1,1,0,0,0,3,0,23.183333333333334,2019-20,1628973,Guard,DAL,20191231,21900503,-7,0,True
H. Diallo,1,4,0.25,4,0,1,0.0,2,2,1.0,0,1,1,0,0,1,0,0,2,2,19.25,2019-20,1628977,Guard,OKC,20191231,21900503,-6,0,False
S. Gilgeous-Alexander,6,15,0.4,19,0,2,0.0,7,8,0.875,2,8,10,3,0,2,1,2,1,9,35.18666666666667,2019-20,1628983,Guard,OKC,20191231,21900503,4,1,True
L. Doncic,12,29,0.414,35,3,16,0.188,8,12,0.667,2,8,10,7,2,1,0,1,3,11,40.23333333333333,2019-20,1629029,Forward,DAL,20191231,21900503,1,1,True
D. Burton,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,2.0,2019-20,1629126,Guard,OKC,20191231,21900503,6,0,False
D. Bazley,0,5,0.0,2,0,3,0.0,2,2,1.0,0,3,3,0,1,0,1,0,1,1,12.316666666666666,2019-20,1629647,Forward,OKC,20191231,21900503,-15,0,False
I. Mahinmi,1,2,0.5,2,0,0,0.0,0,0,0.0,0,2,2,0,2,0,2,0,2,0,19.633333333333333,2019-20,101133,Center,WAS,20200101,21900504,-22,0,True
D. Augustin,7,15,0.467,25,2,6,0.333,9,10,0.9,0,3,3,9,1,2,0,1,2,6,31.416666666666668,2019-20,201571,Guard,ORL,20200101,21900504,8,0,False
I. Smith,4,10,0.4,10,1,4,0.25,1,2,0.5,1,4,5,3,0,1,0,0,2,1,28.45,2019-20,202397,Guard,WAS,20200101,21900504,-7,0,False
N. Vucevic,8,20,0.4,20,3,6,0.5,1,2,0.5,2,10,12,2,1,1,0,1,2,3,30.52,2019-20,202696,Center,ORL,20200101,21900504,18,1,True
I. Thomas,3,10,0.3,9,1,4,0.25,2,2,1.0,0,0,0,1,2,1,0,1,2,1,19.223333333333333,2019-20,202738,Guard,WAS,20200101,21900504,-16,0,True
B. Beal,8,20,0.4,27,2,8,0.25,9,10,0.9,1,3,4,5,2,0,0,1,2,8,30.28333333333333,2019-20,203078,Guard,WAS,20200101,21900504,-20,0,True
T. Ross,6,10,0.6,15,3,6,0.5,0,0,0.0,0,0,0,0,1,1,1,0,1,1,24.366666666666667,2019-20,203082,Guard,ORL,20200101,21900504,3,0,False
E. Fournier,7,16,0.438,18,2,6,0.333,2,3,0.667,0,4,4,0,4,2,1,1,4,3,37.583333333333336,2019-20,203095,Guard,ORL,20200101,21900504,16,0,True
J. Magette,0,1,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2.2666666666666666,2019-20,203705,Guard,ORL,20200101,21900504,-1,0,False
J. McRae,4,12,0.333,15,2,6,0.333,5,6,0.833,0,7,7,1,2,1,0,1,0,3,31.09,2019-20,203895,Guard,WAS,20200101,21900504,-8,0,False
K. Birch,3,3,1.0,7,0,0,0.0,1,2,0.5,4,6,10,2,0,0,1,0,0,3,26.466666666666665,2019-20,203920,Center,ORL,20200101,21900504,8,0,False
G. Payton II,2,5,0.4,4,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,0,3,0,9.76,2019-20,1627780,Guard,WAS,20200101,21900504,-9,0,True
M. Fultz,6,12,0.5,16,1,3,0.333,3,4,0.75,1,3,4,8,1,2,0,0,3,2,22.35,2019-20,1628365,Guard,ORL,20200101,21900504,20,0,True
J. Isaac,1,2,0.5,2,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,1,2.05,2019-20,1628371,Forward,ORL,20200101,21900504,0,0,True
A. Pasecniks,2,8,0.25,4,0,1,0.0,0,0,0.0,3,7,10,3,1,0,0,0,5,1,23.816666666666663,2019-20,1628394,Center,WAS,20200101,21900504,4,0,False
W. Iwundu,4,7,0.571,10,0,1,0.0,2,2,1.0,1,5,6,1,1,1,0,0,3,2,22.016666666666666,2019-20,1628411,Forward,ORL,20200101,21900504,13,0,True
A. Jefferson,0,1,0.0,2,0,0,0.0,2,4,0.5,2,4,6,2,0,0,1,1,0,2,13.066666666666666,2019-20,1628518,Forward,ORL,20200101,21900504,13,0,False
M. Bamba,3,6,0.5,7,1,3,0.333,0,0,0.0,0,6,6,1,0,0,1,0,2,0,15.213333333333331,2019-20,1628964,Center,ORL,20200101,21900504,4,0,False
T. Brown Jr.,5,12,0.417,14,1,2,0.5,3,4,0.75,2,5,7,1,2,1,0,2,1,2,28.3,2019-20,1628972,Guard,WAS,20200101,21900504,-9,0,False
M. Frazier Jr.,0,2,0.0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,1,0,4,0,12.683333333333334,2019-20,1628982,Guard,ORL,20200101,21900504,3,0,False
I. Bonga,1,1,1.0,4,1,1,1.0,1,2,0.5,0,1,1,1,0,1,1,0,3,1,12.66,2019-20,1629067,Guard,WAS,20200101,21900504,-4,0,False
J. Williams,1,1,1.0,2,0,0,0.0,0,0,0.0,1,5,6,1,0,0,1,0,0,1,12.05,2019-20,1629140,Forward,WAS,20200101,21900504,-16,0,True
J. Robinson,0,1,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,3.85,2019-20,1629620,Guard,WAS,20200101,21900504,1,0,False
A. Schofield,0,1,0.0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3.85,2019-20,1629678,Guard,WAS,20200101,21900504,1,0,False
G. Mathews,2,4,0.5,10,1,3,0.333,5,5,1.0,1,0,1,1,1,0,0,1,3,3,17.033333333333335,2019-20,1629726,Guard,WAS,20200101,21900504,0,0,False
K. Lowry,4,16,0.25,15,2,12,0.167,5,6,0.833,1,3,4,8,1,0,1,0,4,5,40.13333333333333,2019-20,200768,Guard,TOR,20200102,21900510,-1,0,True
S. Ibaka,9,21,0.429,19,0,4,0.0,1,2,0.5,3,7,10,0,2,0,2,2,3,2,34.9,2019-20,201586,Forward,TOR,20200102,21900510,-1,1,True
G. Dragic,5,13,0.385,13,3,7,0.429,0,0,0.0,1,1,2,1,1,0,1,2,1,1,22.45,2019-20,201609,Guard,MIA,20200102,21900510,7,0,False
J. Butler,2,10,0.2,8,0,0,0.0,4,7,0.571,3,9,12,7,3,2,0,0,1,5,33.93333333333333,2019-20,202710,Forward,MIA,20200102,21900510,-2,0,True
M. Leonard,3,7,0.429,8,1,3,0.333,1,1,1.0,0,2,2,0,0,0,0,1,0,1,21.133333333333333,2019-20,203086,Forward,MIA,20200102,21900510,-4,0,True
K. Olynyk,0,0,0.0,0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,3.4833333333333334,2019-20,203482,Forward,MIA,20200102,21900510,-5,0,False
S. Johnson,0,1,0.0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5.866666666666666,2019-20,1626169,Forward,TOR,20200102,21900510,-4,0,False
R. Hollis-Jefferson,4,8,0.5,13,0,0,0.0,5,6,0.833,3,4,7,1,2,1,1,0,2,4,29.341666666666665,2019-20,1626178,Forward,TOR,20200102,21900510,-8,0,False
P. McCaw,1,8,0.125,3,1,4,0.25,0,0,0.0,1,0,1,1,0,0,0,0,0,0,27.98333333333333,2019-20,1627775,Guard,TOR,20200102,21900510,-4,0,True
F. VanVleet,3,16,0.188,7,1,11,0.091,0,0,0.0,1,3,4,6,1,1,0,1,0,0,38.65833333333333,2019-20,1627832,Guard,TOR,20200102,21900510,-11,0,True
D. Jones Jr.,4,13,0.308,10,2,9,0.222,0,0,0.0,1,5,6,0,2,2,1,2,3,0,28.23333333333333,2019-20,1627884,Forward,MIA,20200102,21900510,3,0,False
O. Anunoby,5,12,0.417,12,2,5,0.4,0,0,0.0,1,11,12,3,2,2,0,1,2,0,36.8,2019-20,1628384,Forward,TOR,20200102,21900510,-1,1,True
B. Adebayo,7,8,0.875,15,0,0,0.0,1,2,0.5,2,12,14,2,4,0,1,0,4,4,35.45,2019-20,1628389,Center,MIA,20200102,21900510,9,1,True
C. Boucher,1,1,1.0,2,0,0,0.0,0,0,0.0,2,6,8,0,1,0,2,0,1,0,13.1,2019-20,1628449,Forward,TOR,20200102,21900510,-7,0,False
T. Davis,1,6,0.167,5,0,5,0.0,3,3,1.0,1,1,2,1,1,0,0,0,0,2,13.216666666666669,2019-20,1629056,Guard,TOR,20200102,21900510,-3,0,False
D. Robinson,2,4,0.5,6,2,3,0.667,0,0,0.0,0,4,4,1,1,0,0,0,1,0,18.8,2019-20,1629130,Forward,MIA,20200102,21900510,2,0,True
K. Nunn,3,14,0.214,7,1,9,0.111,0,0,0.0,1,3,4,9,0,1,0,1,2,0,38.13333333333333,2019-20,1629134,Guard,MIA,20200102,21900510,18,0,True
T. Herro,5,10,0.5,13,3,6,0.5,0,0,0.0,1,3,4,3,2,1,0,0,0,0,33.333333333333336,2019-20,1629639,Guard,MIA,20200102,21900510,5,0,False
C. Silva,2,2,1.0,4,0,0,0.0,0,1,0.0,0,1,1,0,0,0,1,0,1,1,5.05,2019-20,1629735,Forward,MIA,20200102,21900510,7,0,False
D. Rose,10,16,0.625,22,1,4,0.25,1,1,1.0,0,2,2,2,4,1,0,0,1,5,28.216666666666665,2019-20,201565,Guard,DET,20200104,21900532,4,0,False
A. Burks,5,13,0.385,27,3,6,0.5,14,14,1.0,2,5,7,5,2,1,0,0,2,8,31.55,2019-20,202692,Guard,GSW,20200104,21900532,10,0,False
A. Drummond,7,14,0.5,14,0,0,0.0,0,0,0.0,5,13,18,3,4,3,2,2,6,0,28.65,2019-20,203083,Center,DET,20200104,21900532,12,1,True
D. Green,0,2,0.0,2,0,2,0.0,2,2,1.0,1,5,6,3,1,0,1,0,1,2,21.6,2019-20,203110,Forward,GSW,20200104,21900532,-11,0,True
T. Snell,2,3,0.667,6,1,1,1.0,1,1,1.0,0,0,0,3,0,0,0,0,1,1,21.558333333333334,2019-20,203503,Guard,DET,20200104,21900532,8,0,True
G. Robinson III,1,11,0.091,4,0,2,0.0,2,2,1.0,1,5,6,1,1,1,0,1,3,1,31.25,2019-20,203922,Forward,GSW,20200104,21900532,-9,0,True
T. Frazier,4,5,0.8,8,0,0,0.0,0,0,0.0,0,0,0,5,1,1,1,0,2,2,17.316666666666666,2019-20,204025,Guard,DET,20200104,21900532,2,0,True
L. Galloway,2,6,0.333,6,1,3,0.333,1,1,1.0,0,1,1,1,1,2,0,0,1,0,20.08333333333333,2019-20,204038,Guard,DET,20200104,21900532,0,0,False
W. Cauley-Stein,2,5,0.4,5,0,0,0.0,1,2,0.5,1,2,3,0,1,0,0,0,1,1,14.166666666666666,2019-20,1626161,Center,GSW,20200104,21900532,-15,0,True
C. Wood,2,6,0.333,9,0,1,0.0,5,6,0.833,2,4,6,1,2,1,1,0,3,5,18.08333333333333,2019-20,1626174,Forward,DET,20200104,21900532,-11,0,False
M. Chriss,3,6,0.5,8,0,0,0.0,2,4,0.5,3,1,4,2,0,2,0,0,1,3,17.6,2019-20,1627737,Forward,GSW,20200104,21900532,4,0,False
T. Maker,0,0,0.0,2,0,0,0.0,2,2,1.0,0,3,3,0,2,0,0,0,2,1,7.141666666666667,2019-20,1627748,Forward,DET,20200104,21900532,-4,0,False
D. Lee,5,12,0.417,14,2,2,1.0,2,2,1.0,0,5,5,3,2,1,1,1,2,3,32.483333333333334,2019-20,1627814,Guard,GSW,20200104,21900532,-18,0,True
B. Brown,6,11,0.545,14,0,2,0.0,2,2,1.0,2,2,4,4,0,2,0,1,5,3,30.33333333333333,2019-20,1628971,Guard,DET,20200104,21900532,-3,0,False
J. Evans,2,5,0.4,6,1,1,1.0,1,2,0.5,1,1,2,3,2,1,0,0,3,1,19.78333333333333,2019-20,1628980,Guard,GSW,20200104,21900532,5,0,False
S. Mykhailiuk,4,12,0.333,14,4,9,0.444,2,2,1.0,0,2,2,3,5,1,0,0,0,1,30.383333333333333,2019-20,1629004,Guard,DET,20200104,21900532,8,0,True
O. Spellman,8,11,0.727,23,4,4,1.0,3,4,0.75,2,3,5,1,1,4,1,0,0,2,20.45,2019-20,1629016,Forward,GSW,20200104,21900532,0,0,False
K. Bowman,1,5,0.2,2,0,0,0.0,0,0,0.0,0,2,2,2,2,0,0,2,3,0,13.533333333333331,2019-20,1629065,Guard,GSW,20200104,21900532,-20,0,True
S. Doumbouya,6,10,0.6,16,4,7,0.571,0,1,0.0,0,10,10,2,2,2,1,0,4,1,38.23333333333333,2019-20,1629635,Forward,DET,20200104,21900532,19,1,True
E. Paschall,4,7,0.571,9,1,1,1.0,0,0,0.0,0,2,2,4,2,1,0,1,2,2,19.116666666666667,2019-20,1629672,Forward,GSW,20200104,21900532,0,0,False
J. Poole,2,5,0.4,4,0,3,0.0,0,0,0.0,0,0,0,2,0,2,0,0,1,2,18.466666666666665,2019-20,1629673,Guard,GSW,20200104,21900532,19,0,False
L. Williams,9,18,0.5,32,6,10,0.6,8,8,1.0,1,1,2,9,7,0,0,1,1,5,35.02166666666667,2019-20,101150,Guard,LAC,20200105,21900534,11,0,False
T. Gibson,4,6,0.667,11,0,0,0.0,3,3,1.0,1,4,5,1,2,1,0,0,4,2,18.7,2019-20,201959,Forward,NYK,20200105,21900534,-10,0,True
P. Beverley,3,7,0.429,6,0,2,0.0,0,0,0.0,0,5,5,6,0,1,0,0,2,1,29.85,2019-20,201976,Guard,LAC,20200105,21900534,-5,0,True
P. George,9,14,0.643,32,5,6,0.833,9,11,0.818,0,4,4,3,7,2,0,1,6,8,26.04,2019-20,202331,Forward,LAC,20200105,21900534,-1,0,True
P. Patterson,2,5,0.4,6,2,5,0.4,0,0,0.0,0,2,2,1,0,0,0,0,2,1,13.716666666666669,2019-20,202335,Forward,LAC,20200105,21900534,0,0,True
M. Morris Sr.,13,19,0.684,38,6,7,0.857,6,10,0.6,2,3,5,1,3,2,1,1,4,5,35.06666666666667,2019-20,202694,Forward,NYK,20200105,21900534,2,0,True
M. Harkless,1,4,0.25,2,0,1,0.0,0,0,0.0,2,4,6,0,0,0,2,1,3,0,20.95,2019-20,203090,Forward,LAC,20200105,21900534,-1,0,True
J. Green,4,7,0.571,11,3,5,0.6,0,0,0.0,4,6,10,3,2,0,0,1,4,0,31.883333333333333,2019-20,203210,Forward,LAC,20200105,21900534,4,1,False
R. Bullock,4,5,0.8,9,1,1,1.0,0,0,0.0,1,0,1,1,0,3,0,0,2,3,24.9,2019-20,203493,Guard,NYK,20200105,21900534,1,0,False
R. McGruder,1,2,0.5,3,1,1,1.0,0,0,0.0,0,2,2,0,0,0,1,0,0,0,12.76,2019-20,203585,Guard,LAC,20200105,21900534,7,0,False
J. Randle,6,14,0.429,16,1,4,0.25,3,6,0.5,0,8,8,4,3,2,0,0,5,4,35.06666666666667,2019-20,203944,Forward,NYK,20200105,21900534,2,0,True
M. Harrell,13,21,0.619,34,0,0,0.0,8,12,0.667,2,4,6,3,3,0,0,0,3,9,35.92333333333333,2019-20,1626149,Forward,LAC,20200105,21900534,11,0,False
B. Portis,2,6,0.333,8,2,4,0.5,2,3,0.667,1,1,2,2,2,0,0,0,1,2,13.666666666666666,2019-20,1626171,Forward,NYK,20200105,21900534,3,0,False
I. Zubac,2,3,0.667,4,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,1,0,12.076666666666666,2019-20,1627826,Center,LAC,20200105,21900534,-8,0,True
F. Ntilikina,3,7,0.429,7,1,4,0.25,0,1,0.0,1,4,5,5,2,0,0,0,2,4,28.366666666666667,2019-20,1628373,Guard,NYK,20200105,21900534,0,0,True
K. Allen,4,9,0.444,9,0,0,0.0,1,3,0.333,1,2,3,6,3,1,0,0,1,1,19.633333333333333,2019-20,1628443,Guard,NYK,20200105,21900534,-3,0,False
K. Knox II,1,2,0.5,2,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,6.116666666666666,2019-20,1628995,Forward,NYK,20200105,21900534,-11,0,False
J. Robinson,0,0,0.0,0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,1,1,8.445,2019-20,1629010,Guard,LAC,20200105,21900534,4,0,False
M. Robinson,4,5,0.8,8,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,1,3,0,21.883333333333333,2019-20,1629011,Center,NYK,20200105,21900534,-3,0,False
L. Shamet,1,2,0.5,5,1,2,0.5,2,2,1.0,0,1,1,0,0,1,0,0,4,1,13.333333333333334,2019-20,1629013,Guard,LAC,20200105,21900534,-7,0,False
R. Barrett,7,11,0.636,24,1,2,0.5,9,11,0.818,1,5,6,0,1,1,1,1,4,6,36.6,2019-20,1629628,Forward,NYK,20200105,21900534,4,0,True
K. Korver,0,4,0.0,1,0,3,0.0,1,1,1.0,0,1,1,0,0,0,0,0,1,0,13.583333333333334,2019-20,2594,Guard,MIL,20200106,21900546,-9,0,False
E. Ilyasova,1,2,0.5,3,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,2,1,15.316666666666666,2019-20,101141,Forward,MIL,20200106,21900546,-16,0,False
L. Aldridge,5,10,0.5,17,2,3,0.667,5,5,1.0,1,3,4,3,0,0,1,0,4,4,32.5,2019-20,200746,Center,SAS,20200106,21900546,12,0,True
R. Gay,6,10,0.6,17,2,2,1.0,3,4,0.75,1,7,8,1,1,0,0,1,2,3,24.58333333333333,2019-20,200752,Forward,SAS,20200106,21900546,13,0,False
B. Lopez,3,6,0.5,8,2,3,0.667,0,0,0.0,0,3,3,0,1,0,1,0,1,1,22.15,2019-20,201572,Center,MIL,20200106,21900546,-12,0,True
